Gender,Number_of_pupils_completing_16_18_study,Sustained_education_apprenticeship_or_employment,Sustained_education_destination,UK_higher_education_institution,Further_education,Other_education_destinations,Sustained_apprenticeships,Sustained_employment_destination,Not_recorded_as_a_sustained_destination,Activity_not_captured
FEMALE,258569,83.60,51.40,39.80,9.00,2.70,6.60,25.50,12.20,4.20
MALE,262548,77.90,43.50,30.60,10.40,2.60,10.20,24.20,15.40,6.70
